frame_id,index_x_coor,index_y_coor,index_z_coor,palm_x_coor,palm_y_coor,palm_z_coor,index_x_velocity,index_y_velocity,index_z_velocity,palm_velocity_x,palm_velocity_y,palm_velocity_z,confidence,hand_grab_angle,hand_grab_strength,armPosition_x,armPosition_y,armPosition_z,tip_rotation_x,tip_rotation_y,tip_rotation_z,tip_rotation_w,target
39203,-55.399539947509766,296.6815185546875,-63.62155532836914,-17.818225860595703,258.5365600585937,129.14715576171875,52.26829597353935,-123.35274116694929,-44.6883543971926,31.420034408569336,66.72904205322266,97.9271469116211,0.701533854007721,1.6959211826324463,0.0,3.674110412597656,219.17784118652344,174.3909912109375,0.085901990532875,0.0590030848979949,0.1216870322823524,0.9870824217796326,0
39204,-54.99422836303711,297.1264038085937,-63.520263671875,-17.796524047851562,259.0831298828125,129.6510009765625,48.4178968690685,53.14530639490113,12.100145087664714,34.78770446777344,65.517578125,60.774932861328125,0.7249183058738708,1.92022705078125,0.0,3.6839675903320312,219.33102416992188,174.55223083496094,0.0940688028931617,0.0534462928771972,0.1271580755710601,0.9859641790390016,0
39206,-54.47806930541992,297.60955810546875,-62.022220611572266,-17.443302154541016,259.5907287597656,129.86610412597656,61.55253862810787,57.61668439768255,178.6432921695232,63.67488479614258,19.98387908935547,10.967451095581056,0.7347121238708496,2.0254945755004883,0.0,3.8310394287109375,219.7266387939453,174.62783813476562,0.1113587990403175,0.050026711076498,0.1292970776557922,0.9840623736381532,0
39208,-54.32812881469727,298.4087829589844,-60.90471267700195,-17.22357177734375,259.7439270019531,129.04391479492188,17.876542670011986,95.28698437591083,133.2340462548891,47.46247482299805,8.077958106994629,-49.94412612915039,0.7331234812736511,2.128251075744629,0.0,3.958864212036133,220.4014587402344,174.20835876464844,0.1393656730651855,0.0564921796321868,0.1309125274419784,0.9799222946166992,0
39210,-53.74225997924805,298.8572082519531,-60.348876953125,-16.407928466796875,260.041748046875,128.67291259765625,69.87753951939521,53.4844221691601,66.2954409099475,81.91678619384766,18.39748954772949,-16.28435516357422,0.7434141039848328,2.214369297027588,0.0,4.460372924804688,220.88226318359372,174.2537078857422,0.158376470208168,0.063314102590084,0.1339578479528427,0.9761984944343568,0
39212,-53.37236404418945,298.9835205078125,-59.26745223999024,-15.81546401977539,260.0601806640625,128.08987426757812,44.09939738694811,15.059085104847329,128.9286354580836,62.09315490722656,-3.446549654006958,-39.255615234375,0.7446943521499634,2.2799150943756104,0.0,4.54951286315918,221.39764404296875,174.3727264404297,0.1754482984542846,0.0651308596134185,0.1429806053638458,0.9718706011772156,0
39213,-53.28414535522461,298.49664306640625,-58.55768966674805,-15.730464935302734,259.8186950683594,127.48452758789062,10.516413873585408,-58.0399089991115,84.60970186453778,42.33493423461914,-28.542495727539062,-71.58126068115234,0.7484002709388733,2.3116261959075928,0.0,4.496463775634766,221.4860382080078,174.06333923339844,0.180815115571022,0.0653718709945678,0.1479148864746093,0.970130741596222,0
39215,-52.57387161254883,297.1598815917969,-57.1286735534668,-15.193260192871094,259.5435791015625,126.3616943359375,84.78068579587853,-159.56038883817382,170.5722157782875,78.41436004638672,-8.871498107910156,-51.88956832885742,0.7534788846969604,2.3454043865203857,0.0,4.656015396118164,221.45877075195312,173.24981689453125,0.1713970750570297,0.0649715363979339,0.1514326930046081,0.971323788166046,1
39217,-51.63211441040039,296.6830139160156,-56.34727478027344,-14.0064697265625,259.0889587402344,125.5845947265625,112.45160251355264,-56.94093361450359,93.30381976082572,104.72068786621094,-29.10667991638184,-38.743011474609375,0.7576057314872742,2.3557496070861816,0.0,5.3927764892578125,221.1483917236328,172.77078247070312,0.1726999580860138,0.0664665400981903,0.1538182199001312,0.9706167578697203,1
39219,-50.77524185180664,296.4456481933594,-55.95008087158203,-13.053504943847656,258.5538024902344,124.85535430908205,102.3824179614894,-28.36136644007638,47.45825077901827,87.37774658203125,-28.953344345092773,-36.09782791137695,0.7618575692176819,2.3629631996154785,0.0,6.136327743530273,220.86651611328125,172.2793731689453,0.1758774369955063,0.0681264996528625,0.1513703465461731,0.9703158736228944,1
